,res_sdebt_neg,bank_lev_diff,bank_ldr_diff,sbank_lev_diff,nbank_ratio,hc_gdp_diff,ldr_hl,cc_gdp_diff,ldr_cp,kb_hp_pchg,kb_hp_mt_pchg,kb_hp_se_pchg,bcs_ap_pchg,bcs_ap_mt_pchg,bcs_ap_se_pchg,uhi_se_pchg,uhi_ic_pchg,uhi_gg_pchg,cd_sp_diff,cp_sp_diff,sr_sp_diff,tp_sp_neg_diff,cb_kb_diff,fi_kb_diff,stock_cmax,bank_mv,er_mv,secu_mv,ins_mv,kosdaq_cmax,gdp_growth_neg,cei_growth_neg,ipi_growth_neg,ffr,us_cds_diff,us_cps_diff,dow_cmax,vix,move,epu_pchg,epu_tp_pchg,esi_pchg_neg,nsi_pchg_neg
1999-04-30,-1511.8465582944775,3.4182778120526507,-26.388608046060757,-0.1454482299191637,1.0,0.0184418527142002,0.6,0.0004209748086535,1.1,0.0058287795992715,0.0020393690752036,0.0058780308596615,0.0029258990518441,0.0042315929518046,0.0056964445075629,-0.0200285276698678,-0.0001938623066731,-0.0002748293643553,-0.00058971291866,-0.0305476190476191,-0.2597349567099569,0.0122943722943718,-0.0511105794790002,-0.1099498746867168,-0.919658358080244,0.218829591631042,0.0342159708857283,0.503665836398462,0.1567016429746791,-0.8715775229845233,-3.1,-0.0076949982511367,-0.0026437541308657,4.761363636363637,1.0325,0.0422727272727272,-0.9761910047155176,23.478571428571428,80.08227272727272,-0.0932682425488182,0.2448296980260988,0.0006289913528265,-0.0009645548350755
1999-05-31,-1564.282027197414,-0.124666147090668,-27.99811201345993,-0.1454482299191637,1.0,0.0184418527142002,0.6,0.0004209748086535,1.1,0.0021731256791015,0.0017730496453898,2.220446049250313e-16,0.0029258990518441,0.0042315929518046,0.0056964445075629,-0.0200285276698678,-0.0001938623066731,-0.0002748293643553,-0.00058971291866,-0.0305476190476191,-0.2597349567099569,0.0122943722943718,-0.0511105794790002,-0.1099498746867168,-0.919658358080244,0.1804434883512748,0.0333587907140662,0.5125370989754608,0.1553003209040533,-0.8715775229845233,-3.1,-0.0038181187087817,-0.0026437541308657,4.734761904761905,1.0325,0.089,-0.9761910047155176,26.204500000000003,95.05571428571427,-0.1259766020321415,-0.0638056312443233,0.0006289913528265,-0.0009645548350755
1999-06-30,-1620.5278701564655,0.0123593791649128,-30.84866551099317,-0.1454482299191637,1.0,0.0184418527142002,0.6,0.0004209748086535,1.1,0.0021684134441632,0.0021238938053098,0.0010956902848788,0.0029258990518441,0.0042315929518046,0.0056964445075629,-0.0200285276698678,-0.0001938623066731,-0.0002748293643553,-0.00058971291866,0.2793347003873334,-0.2597349567099569,0.0122943722943718,-0.0511105794790002,-0.1099498746867168,-1.0,0.1782211410381292,0.0242510233361907,0.1716066116086494,0.1461370131379906,-1.0,-3.1,-0.0027662517289075,-0.0026437541308657,4.767272727272727,1.0325,0.2681818181818182,-0.9861943883477408,23.626363636363635,108.835,-0.0708165439303415,-0.2059180208585982,0.0006289913528265,-0.0009645548350755
1999-07-31,-1710.0663956209476,-9.33131307059082,-29.572894786542165,-0.1454482299191637,1.0,0.0184418527142002,0.6,0.0004209748086535,1.1,0.0010818608005775,0.002119392440834,0.0014593214155413,0.0029258990518441,0.0042315929518046,0.0056964445075629,-0.0200285276698678,-0.0001938623066731,-0.0002748293643553,-0.00058971291866,0.5186363636363645,-0.2597349567099569,0.0122943722943718,-0.0511105794790002,-0.1099498746867168,-1.0,0.1790547123222784,0.0219909080878015,0.1745903383318226,0.1483378997668921,-1.0,-4.3,-0.0024137931034484,-0.0026437541308657,5.01409090909091,1.0325,0.1176190476190476,-1.0,21.04904761904762,102.77045454545454,0.0349416807895524,-0.3048259010384848,0.0006289913528265,-0.0009645548350755
1999-08-31,-1771.9731705135343,-2.166372950419685,-25.930339883850262,-0.1454482299191637,1.0,0.0184418527142002,0.6,0.0004209748086535,1.1,0.0018011527377517,0.0042298202326405,0.0043715846994534,0.0029258990518441,0.0042315929518046,0.0056964445075629,-0.0200285276698678,-0.0001938623066731,-0.0002748293643553,-0.00058971291866,1.2765151515151514,-0.2597349567099569,0.0122943722943718,-0.0511105794790002,-0.1099498746867168,-0.9629344539135216,0.1909780214557154,0.0222298266249294,0.174973772566647,0.1655685518650363,-0.9548469468603846,-4.3,-0.0030959752321979,-0.0026437541308657,5.086818181818182,1.0325,0.1959090909090909,-0.989436956278919,24.323636363636364,107.0440909090909,0.0591436690266338,-0.0106912712360868,0.0006289913528265,-0.0009645548350755
1999-09-30,-1788.6438384228948,-2.871316155384241,-17.958240559520235,-0.1454482299191637,1.0,0.0184418527142002,0.6,0.0004209748086535,1.1,0.0032362459546921,0.0070200070200066,0.0079796880667386,0.0029258990518441,0.0042315929518046,0.0056964445075629,-0.0200285276698678,-0.0001938623066731,-0.0002748293643553,-0.00058971291866,0.8065454545454536,-0.2597349567099569,0.0122943722943718,-0.0511105794790002,-0.1099498746867168,-0.9695664297215566,0.175563686741878,0.0149373152445721,0.193171746557821,0.180741443649175,-0.8962217765120819,-4.3,-0.0041152263374486,-0.0026437541308657,5.251363636363636,1.0325,0.0614285714285714,-0.9694013705582244,24.54142857142857,101.10636363636364,0.0111863944340866,0.1904515173945224,0.0006289913528265,-0.0009645548350755
1999-10-31,-1793.7189076024813,-2.744882405972188,-14.928494343379086,-0.1454482299191637,1.0,0.0184418527142002,0.6,0.0004209748086535,1.1,0.0057347670250895,0.0097594980829556,0.0104354084202957,0.0029258990518441,0.0042315929518046,0.0056964445075629,-0.0200285276698678,-0.0001938623066731,-0.0002748293643553,-0.00058971291866,1.5965476190476195,-0.2597349567099569,0.0122943722943718,-0.0511105794790002,-0.1099498746867168,-0.861217490177157,0.0955545964739004,0.0142709945486445,0.0841364137138433,0.133090746536369,-0.8471104982417016,-2.9,-0.0054644808743167,-0.0026437541308657,5.198095238095238,1.0325,0.7235,-0.9407056551048318,24.02142857142857,102.10142857142856,-0.0143454602689211,-0.1413293539762481,0.0006289913528265,-0.0009645548350755
1999-11-30,-1789.2393375793365,-3.371802924679468,-12.532406854855736,-0.1454482299191637,1.0,0.0029616814486461,0.6,-0.0517324387693907,1.1,0.0049893086243766,0.0086296168450112,0.0085470085470085,0.0029258990518441,0.0042315929518046,0.0056964445075629,-0.0200285276698678,-0.0001938623066731,-0.0002748293643553,-0.00058971291866,1.7378354978354968,-0.2597349567099569,0.0122943722943718,-0.0511105794790002,-0.1099498746867168,-0.9986097474767308,0.105533581272635,0.0171077373188732,0.1503609000926834,0.1130151840590944,-1.0,-2.9,-0.0061141304347827,-0.0026437541308657,5.426363636363636,1.0325,0.432,-0.9780661652750122,21.81809523809524,88.70318181818182,-0.0780180673419107,-0.0425778421433745,0.0006289913528265,-0.0009645548350755
1999-12-31,-1808.513558301525,-2.737626323212446,-7.430577314270664,-0.1454482299191637,1.0,0.0059065121997106,0.6,-0.073351463307256,1.1,0.0017730496453902,0.0037645448323062,0.0031779661016952,0.0029258990518441,0.0042315929518046,0.0056964445075629,-0.0200285276698678,-0.0001938623066731,-0.0002748293643553,-0.00058971291866,1.7554545454545458,-0.2597349567099569,0.0122943722943718,-0.0511105794790002,-0.1099498746867168,-1.0,0.1090249091019964,0.0197890882594556,0.1761089086485226,0.1467385697580317,-1.0,-2.9,-0.0057393652937203,-0.0026437541308657,5.294347826086956,1.0325,0.6168181818181818,-1.0,22.15909090909091,89.06565217391304,0.0619061757719712,0.5779761004386632,0.0006289913528265,-0.0009645548350755
2000-01-31,-1799.480381126312,-8.328411556385891,-3.2834571701066864,-0.1454482299191637,1.0,0.0035316954908153,0.6,-0.0844502146473885,1.1,-0.0014159292035397,-0.0003409478349806,0.0003519887363605,0.0029258990518441,0.0042315929518046,0.0056964445075629,-0.0200285276698678,-0.0001938623066731,-0.0002748293643553,-0.00058971291866,1.845,-0.2597349567099569,0.0122943722943718,-0.0511105794790002,-0.1099498746867168,-0.9779848069900884,0.1085614667394471,0.0176364869546503,0.1768592541963009,0.1306521499820551,-0.8446845662900566,-2.7,-0.0036925142665324,-0.0026437541308657,5.557142857142857,1.0325,0.254,-1.0,23.202,99.05142857142856,0.0651940910573654,0.4365893404907972,0.0006289913528265,-0.0009645548350755
