날짜,KRX_OF
2021-11-29,1000.0
2021-11-30,937.173668448801
2021-12-01,901.1504322976875
2021-12-02,947.746073208949
2021-12-03,939.6204548211145
2021-12-06,940.1827823723946
2021-12-07,930.7054456217172
2021-12-08,917.8629490014815
2021-12-09,929.2613524693093
2021-12-10,905.0448256221757
2021-12-13,905.1706837883164
2021-12-14,884.2029256390095
2021-12-15,877.8229694355895
2021-12-16,864.3371104571859
2021-12-17,889.1660993084289
2021-12-20,900.2247795468858
2021-12-21,924.0273527953416
2021-12-22,962.9036263753494
2021-12-23,952.2975653210333
2021-12-24,968.0435984960034
2021-12-27,968.371824958955
2021-12-28,973.7964686388093
2021-12-29,961.8528516871917
2021-12-30,980.5396721974257
2022-01-03,989.5370183792213
2022-01-04,1028.1464264379135
2022-01-05,1007.081039571498
2022-01-06,961.9427965106387
2022-01-07,975.0373145052399
2022-01-10,943.9453224713473
2022-01-11,946.3900875028246
2022-01-12,974.8997958607013
2022-01-13,980.3420222097519
2022-01-14,972.341875909194
2022-01-17,986.7633731324393
2022-01-18,990.6501512249479
2022-01-19,984.6209659463088
2022-01-20,983.9913478074395
2022-01-21,973.6205427843313
2022-01-24,952.8001221691951
2022-01-25,922.2673826632138
2022-01-26,917.7151230892629
2022-01-27,881.4915693288488
2022-01-28,882.597068324163
2022-02-03,907.9312308096914
2022-02-04,912.9069820756465
2022-02-07,919.25134830249
2022-02-08,919.6102210844958
2022-02-09,934.1921498205573
2022-02-10,895.001546147595
2022-02-11,894.1203430218086
2022-02-14,879.628769139437
2022-02-15,844.2401889893155
2022-02-16,861.3205651476194
2022-02-17,852.8489022645077
2022-02-18,853.097755867901
2022-02-21,861.1029712556941
2022-02-22,865.6131399691657
2022-02-23,882.4583161306372
2022-02-24,856.9389042593185
2022-02-25,876.9718655790252
2022-02-28,851.5763216151429
2022-03-02,834.4139844649611
2022-03-03,839.071329965248
2022-03-04,816.6812878622836
2022-03-07,791.1053630654119
2022-03-08,772.3261484763428
2022-03-10,792.6569268219533
2022-03-11,792.0781667786451
2022-03-14,799.541975125962
2022-03-15,806.6971503188395
2022-03-16,806.2255829875086
2022-03-17,815.553550183223
2022-03-18,825.6048568523756
2022-03-21,818.0705467497414
2022-03-22,822.5287000939524
2022-03-23,846.419686764604
2022-03-24,856.3202517402423
2022-03-25,841.626862053066
2022-03-28,858.4858179277433
2022-03-29,872.5229579574293
2022-03-30,866.4543837801544
2022-03-31,881.8367708839131
2022-04-01,877.414726657682
2022-04-04,879.8439954779661
2022-04-05,872.2766391203284
2022-04-06,883.0043172932976
2022-04-07,871.5593782979668
2022-04-08,872.4314744275888
2022-04-11,879.9337710539716
2022-04-12,875.6958399340879
2022-04-13,890.9504853839655
2022-04-14,900.9656562900965
2022-04-15,888.8142153266166
2022-04-18,871.5594059073079
2022-04-19,884.5982669451591
2022-04-20,867.3384470644577
2022-04-21,869.2196864230068
2022-04-22,858.3169388387773
2022-04-25,848.8852016816721
2022-04-26,853.7419480415901
2022-04-27,840.717835937723
2022-04-28,847.781389660469
2022-04-29,840.6625015173331
2022-05-02,833.1208435407133
2022-05-03,826.350214551115
2022-05-04,817.7344034733281
2022-05-06,797.8900430612264
2022-05-09,772.2658541084742
2022-05-10,769.2081690433158
2022-05-11,738.3615711340008
2022-05-12,720.2001682689746
2022-05-13,733.7470379275217
2022-05-16,733.1866059451487
2022-05-17,740.7608075606579
2022-05-18,746.1007597759677
2022-05-19,734.8363694687638
2022-05-20,748.8060100366662
2022-05-23,760.150264295766
2022-05-24,744.7293136389874
2022-05-25,756.0504344902643
2022-05-26,748.334971613493
2022-05-27,759.5043423761061
2022-05-30,762.1472684378581
2022-05-31,769.9766985493409
2022-06-02,755.9599598440517
2022-06-03,760.9844893279593
2022-06-07,741.2636180153503
2022-06-08,740.675613482343
