period,gdp,reserve,short_ex_debt,bank_capital,bank_asset,bank_dep,bank_loan,sbank_capital,sbank_asset,nbank_rc,nbank_cd,hcredit,hc1975_lbond,hc1975_sbond,hc1975_loan,hc1975_gov,hc2002_bond,hc2002_loan,hc2002_gov,hc2008_bond,hc2008_loan,hc2008_gov,ldr_hl,cc1975_lbond,cc1975_sbond,cc1975_loan,cc1975_gov,cc2002_bond,cc2002_loan,cc2002_gov,cc2008_bond,cc2008_loan,cc2008_gov,ldr_cp,kb_hp,kb_hp_mt,kb_hp_se,bcs_ap,bcs_ap_mt,bcs_ap_se,uhi_se,uhi_ic,uhi_gg,cd91,ms91,cp91,call,kb10y,ub10y,kb3y,ms1y,cbaa3y,fiaa3y,kospi,kospi2,kosbank,krxbank,er,kossecu,krxsecu,kosins,krxins,kosdaq,gdp_growth,cei,ipi,ffr,us_cds_diff,us_cps_diff,dow,vix,move,epu,epu_tp,esi,nsi,cd_sp,cp_sp,tp_sp_neg,post_kosbank,stockbank,post_kossecu,stocksecu,post_kosins,stockins,bank_gv,secu_gv1,ins_gv1,secu_gv2,ins_gv2,cr_sp,stock_ret,stock_gv,er_gv,res_sdebt,res_sdebt_neg,bank_lev,bank_lev_diff,bank_ldr,bank_ldr_diff,sbank_lev,sbank_lev_diff,nbank_ratio,nbank_ratio_diff,hc1975,hc2002,hc2008,hc2,hc2_gdp,hc_gdp_diff,cc1975,cc2002,cc2008,cc,cc_gdp,cc_gdp_diff,kb_hp_pchg,kb_hp_mt_pchg,kb_hp_se_pchg,bcs_ap_pchg,bcs_ap_mt_pchg,bcs_ap_se_pchg,uhi_se_pchg,uhi_ic_pchg,uhi_gg_pchg,cd_sp_diff,cp_sp_diff,sr_sp,sr_sp_diff,tp_sp_neg_diff,cb_kb_diff,fi_kb,fi_kb_diff,stock_cmax,kosdaq_cmax,dow_cmax,bank_mv,secu_mv1,secu_mv2,secu_mv,ins_mv1,ins_mv2,ins_mv,er_mv,gdp_growth_neg,cei_growth_neg,ipi_growth_neg,epu_pchg,epu_tp_pchg,esi_pchg_neg,nsi_pchg_neg,nonbank_gv
2020-10,541706.3,426509822.0,160066.4,135136406.0,1899064804.0,1651169.2,1873103.1,8664318.0,86263566.0,2883096.6,1003780.3,1729484.7,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1936291.7,61978.4,0.2,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,317536.6,1454840.8,66427.1,0.4,84.35877,81.773154,86.17812,177.9764323334732,210.2211106898083,263.1695854615348,52.0,822.0,2733.0,0.63,0.5238947368421053,1.11,0.5073684210526316,1.5069473684210526,0.7753454545454546,0.9099473684210527,0.6846315789473685,1.494421052631579,1.6831052631578947,2357.821052631579,313.97315789473686,172.80263157894737,559.8673684210526,1144.6842105263158,1659.271052631579,630.8015789473684,11205.453157894737,1046.0736842105264,832.6426315789473,1.6,97.9,101.3,0.09,0.9322727272727274,0.030000000000000002,28005.105000000003,29.438636363636363,55.521904761904764,249.17,331.2,84.2,104.85,0.1061052631578947,0.6026315789473685,-0.22531578947368425,559.8673684210526,559.8673684210526,630.8015789473684,630.8015789473684,1046.0736842105264,1046.0736842105264,7.895510116324816,6.802403278002392,5.826460157405314,6.9537087046967265,6.220688256969833,0.5844736842105264,-0.14138873059363166,5.90009743048188,1.6461908239630785,2664.580586556579,-2825.8161318641355,14.052947390061565,0.32547344855270666,113.44101500924315,-0.5208512392444646,9.95618651115991,0.05480611004182734,1.0,0.0,0.0,1162125.4000000001,1998270.0999999999,1998270.0999999999,0.9567663233403954,0.05542510569592285,0.0,1173098.0,1838804.5,1838804.5,0.8919911029527189,0.07666961559246088,0.008174028710423276,0.011493047367865161,0.014575645936595327,0.01045651324939656,0.017589348408328265,0.030216361836344685,-0.040000000000000036,0.13640552995391708,0.11415058161830505,-0.04994235588972429,0.2897744360902256,0.731601913875598,0.8559986012461984,-0.19679197994987463,0.17380701754385985,0.7731578947368419,0.33572932330827043,-1.0,-0.9620058485194768,-0.9697060436695775,0.06536337865634634,0.06445856900588119,0.0661509821402201,0.0661509821402201,0.038807112561008925,0.03631585148093592,0.03631585148093592,0.010507342029312708,-2.2,0.0024137931034484694,-0.00939597315436247,-0.017330794984573017,0.13259241849377146,-0.03757472245943627,0.004297336307571342,-0.32079385597281945
2020-11,541706.3,436377224.0,160066.4,136663152.0,1932374466.0,1671040.1,1893044.7,8695781.0,88423375.0,2911471.1,1025307.1,1729484.7,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1936291.7,61978.4,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,317536.6,1454840.8,66427.1,0.5,85.56763,83.024721,87.612613,181.4573900693094,213.448007067087,265.6722190164701,52.0,691.0,2440.0,0.6595238095238096,0.5023809523809524,1.101904761904762,0.49666666666666665,1.6103809523809522,0.8658523809523809,0.9649047619047618,0.6971428571428572,1.4977142857142858,1.6694285714285715,2504.1809523809525,334.3071428571428,189.8761904761905,629.3171428571428,1116.7619047619048,1827.672380952381,690.2566666666667,12022.047142857142,1104.0138095238096,850.7833333333334,1.6,98.5,102.2,0.08684210526315789,0.8280952380952381,0.06933333333333333,29124.0365,24.9955,45.16368421052632,246.71,204.61,87.6,113.05,0.15714285714285725,0.6052380952380954,-0.26776190476190465,629.3171428571428,629.3171428571428,690.2566666666667,690.2566666666667,1104.0138095238096,1104.0138095238096,7.750029691030691,6.8022509140017995,4.878362235187087,6.953610319035515,5.336563186469908,0.532809523809524,-0.17633742678900144,5.621714139601381,1.9818545420699767,2726.226266099569,-2842.267507099719,14.139688992392038,0.47747696556793073,113.2854142758154,0.9090519983575547,10.168537478117262,0.057183220683159064,1.0,0.0,0.0,1162125.4000000001,1998270.0999999999,1998270.0999999999,0.9646485037561835,0.060519430381360984,0.0,1173098.0,1838804.5,1838804.5,0.893452264282962,0.08068772430062521,0.00747227030577724,0.009896477164991646,0.012812034565597541,0.007288360550848028,0.011417942355783639,0.01572505742319863,-0.0357142857142857,0.42822384428223836,-0.006883891693437394,-0.0348571428571427,0.24476190476190496,0.7445285714285713,0.810033333333333,-0.19861904761904747,0.12776190476190463,0.7045238095238097,0.2812380952380954,-1.0,-0.9829649737457141,-1.0,0.07550263908938193,0.0651542251871519,0.06694902586993769,0.06694902586993769,0.042930851256044615,0.03189754003873217,0.03189754003873217,0.009001025195719731,-2.2,-0.0024196335983410755,-0.004986702127659504,-0.07587681207829533,0.7156112889837543,-0.03991769547325097,-0.04503673442493339,-0.4602670406728851
2020-12,541706.3,443098121.0,160066.4,137471460.0,1916594278.0,1697818.1,1893716.2,10104308.0,90923630.0,2858853.3,1016054.4,1729484.7,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1936291.7,61978.4,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,317536.6,1454840.8,66427.1,0.5,86.734807,84.096881,88.701139,185.6859688104431,218.3161495007671,271.2429387753668,49.0,466.0,1616.0,0.66,0.5281818181818182,1.09,0.5081818181818182,1.6747272727272728,0.9237478260869566,0.9698181818181818,0.7141818181818181,1.4159090909090908,1.540318181818182,2761.1209090909088,370.707619047619,195.97227272727275,639.135,1095.4714285714285,1963.1595454545457,742.7068181818181,12625.135454545454,1147.060909090909,929.8554545454546,1.6,98.4,101.5,0.09,0.7378260869565217,0.080625,30148.58,22.37409090909091,45.88681818181818,246.13,123.58,90.8,113.75,0.13181818181818183,0.5818181818181819,-0.25563636363636366,639.135,639.135,742.7068181818181,742.7068181818181,1147.060909090909,1147.060909090909,7.444213391491407,6.8021036900311636,5.559705849823599,6.95351541703194,5.357884687914968,0.446090909090909,-0.2845854084370947,5.460319284829769,1.9927549459173126,2768.2144472543896,-2853.083645748106,13.941761279032026,0.4649226185074422,111.53822662156799,-0.6376056028588124,8.998501431270702,0.11216645247384527,1.0,0.0,0.0,1162125.4000000001,1998270.0999999999,1998270.0999999999,0.972396227775779,0.06471524115407545,0.0,1173098.0,1838804.5,1838804.5,0.8947972345766111,0.08386856144252386,0.009672907655412066,0.011382424298609806,0.013385098676891083,0.011432774764644105,0.011736721326571553,0.009207055411351472,-0.024691358024691357,0.09426462237365141,-0.01675138632162665,-0.06618181818181812,0.2075324675324678,0.7509794466403162,0.9584649444758143,-0.24382683982683995,0.02299567099567079,0.5705000000000001,0.09616666666666662,-1.0,-1.0,-1.0,0.060822073578895144,0.06563935947639794,0.06730407468645457,0.06730407468645457,0.04016905028111856,0.02881908013870336,0.02881908013870336,0.009090803066786128,-2.2,-0.004137931034482678,-0.008600727753886872,0.032212358673336716,0.09275803079262479,-0.039176889592402286,-0.04555485498108447,-0.4569156825737989
2021-01,515262.2,442727709.0,165182.3,138469526.0,1935375011.0,1681058.4,1911098.6,10104645.0,93251459.0,2965211.3,1033425.9,1766721.3,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1989113.7,62248.1,0.2,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,329741.5,1482491.5,68559.5,0.4,87.76706,85.273601,89.827892,189.8398284320245,225.0909568234482,278.6686552876783,49.0,245.0,1567.0,0.678,0.50335,1.0305,0.48949999999999994,1.73115,1.057947619047619,0.97475,0.66915,1.3467,1.4755,3089.267,420.53000000000003,179.9415,626.3785,1097.49,2021.611,777.797,12667.271,1136.7525,975.3135,1.5,98.1,101.6,0.08526315789473683,0.71,0.050769230769230775,30821.352631578946,24.91,45.53842105263158,207.91,72.35,94.0,114.43,0.17465000000000008,0.541,-0.3056,626.3785,626.3785,777.797,777.797,1136.7525,1136.7525,7.0682978564395125,6.801961432796166,5.451686891809035,6.953423875381043,5.120665524587481,0.37195,-0.40201843252093017,5.679971943734731,1.8867289073608229,2680.2369805965895,-2664.580586556579,13.976902116354468,0.44820414524553165,113.68424797139708,-0.09233005557554463,9.22857349268579,0.3125890741467998,1.0,0.0,0.0,1162125.4000000001,2051361.8,2051361.8,0.9784928477900433,0.06795777936561131,0.0,1173098.0,1880792.5,1880792.5,0.8993000688715158,0.08201301143476525,0.011574942890190343,0.012126815663737744,0.01280468616281527,0.01759403733827969,0.016703429988940144,0.012777053200448751,-0.03164556962025311,0.02698495070057061,-0.20232640112795208,-0.016649999999999943,0.13349999999999984,0.673202380952381,0.7798502070393378,-0.2574000000000002,-0.03819999999999979,0.50075,0.04535000000000022,-1.0,-1.0,-1.0,0.05746093096167092,0.062049467454222,0.059506366231032545,0.059506366231032545,0.03032109598139139,0.022166006865765336,0.022166006865765336,0.011607657942224387,-1.6,-0.0044642857142858094,-0.0003279763857002571,0.03931702944225002,0.04269517228292674,-0.03731911652703723,-0.028885873661993244,-0.4943458129963992
2021-02,515262.2,447557482.0,165182.3,139215510.0,1957724032.0,1719051.3,1926681.1,10110989.0,95789062.0,2973072.6,1039629.7,1766721.3,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1989113.7,62248.1,0.2,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,329741.5,1482491.5,68559.5,0.4,88.962411,86.745362,90.856115,192.6145111344545,230.7753597581386,283.7182411823921,88.0,142.0,1367.0,0.7333333333333333,0.4961111111111111,1.001111111111111,0.49222222222222217,1.845222222222222,1.243435,0.9952222222222223,0.6769444444444445,1.313222222222222,1.4881666666666666,3092.411666666667,419.49611111111113,178.7877777777778,620.4105555555556,1111.7166666666667,1986.9694444444442,768.2694444444445,12120.047222222223,1094.9722222222222,956.9844444444445,1.5,98.2,103.7,0.07578947368421053,0.7135,0.036250000000000004,31283.910000000003,23.140526315789476,54.37842105263158,151.93,52.35,97.0,107.32,0.23722222222222217,0.508888888888889,-0.3182777777777779,620.4105555555556,620.4105555555556,768.2694444444445,768.2694444444445,1094.9722222222222,1094.9722222222222,6.888337589041465,6.801823974838045,5.14925489911138,6.953335575139143,4.933208732904283,0.3179999999999997,-0.4269660527730268,5.9475667246739015,1.757962707709491,2709.4760273951874,-2726.226266099569,14.062542542853164,0.3442997507659378,112.07816194897732,0.7631507163065976,9.473757908351002,0.5472828906145057,1.0,0.0,0.0,1162125.4000000001,2051361.8,2051361.8,0.9837420624404736,0.07137102787374605,0.0,1173098.0,1880792.5,1880792.5,0.9030277925359842,0.08031794626576294,0.013279334418465627,0.014063964449295252,0.013904323864168955,0.02176291576599687,0.023162285634931612,0.01937178524754768,-0.019607843137254943,-0.2915613946437594,-0.17174841655619388,0.018422222222222284,0.10688888888888903,0.601787222222222,0.570472222222222,-0.2859777777777781,-0.09030000000000038,0.4929444444444443,0.05254444444444395,-0.9975414622288805,-0.9812070113296335,-1.0,0.059539811405834246,0.05203473595577613,0.04526167553090522,0.04526167553090522,0.041558604242109394,0.033365381759703876,0.033365381759703876,0.01626546370183848,-1.6,-0.00512820512820511,-0.0009836065573769481,-0.05560571959946625,-0.3925597901090401,-0.03450807635829656,0.016792192949037443,-0.5239260783473054
2021-03,515262.2,446127385.0,165182.3,136576750.0,1988961745.0,1747379.4,1937175.1,10486987.0,97479486.0,2964972.3,1042379.2,1766721.3,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1989113.7,62248.1,0.2,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,329741.5,1482491.5,68559.5,0.5,90.134881,88.275452,91.731639,195.1685577096623,235.7761872810747,284.3949331040563,82.0,130.0,1308.0,0.7477272727272727,0.49763636363636365,1.0,0.4881818181818182,2.0401818181818183,1.6041434782608694,1.133,0.675590909090909,1.4941818181818183,1.6660909090909088,3032.4690909090914,412.50181818181824,191.705,687.9936363636364,1131.0181818181818,1965.2140909090908,755.1,13114.356363636365,1198.734090909091,935.325,1.5,98.6,104.5,0.06956521739130435,0.7752173913043479,0.03285714285714286,32373.290869565215,21.84304347826087,66.48695652173913,139.8,47.67,99.7,114.5,0.25009090909090903,0.5118181818181817,-0.457409090909091,687.9936363636364,687.9936363636364,755.1,755.1,1198.734090909091,1198.734090909091,6.544128004348056,6.801691154337545,5.439973680807375,6.953250401569799,5.041604782506639,0.36118181818181827,-0.6972017700024578,5.641159230947452,1.7428964281067396,2700.818338284429,-2768.2144472543896,14.56295998403828,0.4346611442636217,110.86173386272038,-0.543003610045659,9.295280522422694,0.6521432049579641,1.0,0.0,0.0,1162125.4000000001,2051361.8,2051361.8,0.98815374626265,0.07495406621957734,0.0,1173098.0,1880792.5,1880792.5,0.9059894528686724,0.07878251922446955,0.01305336088684017,0.014741330087798543,0.012187126942073023,0.0200313426317118,0.026379261328409953,0.02212650849185316,0.24,-0.391583452211127,-0.19082340387693397,-0.03745454545454563,-0.13181818181818183,0.43603833992094887,-0.17374802371541476,-0.3841363636363636,-0.1252727272727272,0.5330909090909088,-0.022954545454545672,-0.9809093719397385,-0.9589993371362132,-1.0,0.06093062985162179,0.051493385836488506,0.050382719726175224,0.050382719726175224,0.047776568824063906,0.0467717520061524,0.0467717520061524,0.019995861639311524,-1.6,-0.0027210884353741083,-0.004913200131018813,-0.13525508383874418,-0.38013681529934595,-0.031582682753726,-0.0022354694485842153,-0.5068384636604633
2021-04,548892.9,452309658.0,177692.2,137744931.0,2000850444.0,1735830.6,1960962.0,9816638.0,94320478.0,3116567.9,1143417.1,1810575.9,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,2043200.4,63040.6,0.2,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,335837.5,1538914.9,69313.7,0.4,91.090672,89.480708,92.407477,196.5982832089093,238.7964100893967,285.5019148672625,76.0,123.0,1390.0,0.7372727272727272,0.4825,0.9836363636363636,0.47909090909090907,2.040545454545455,1.6200136363636366,1.1379545454545454,0.6591818181818182,1.5059545454545455,1.6305454545454545,3165.083181818182,427.74954545454545,196.95363636363638,720.0931818181817,1119.4045454545455,2177.5945454545454,854.785,13545.376363636366,1241.4295454545454,1001.7922727272727,1.4,99.4,104.1,0.06863636363636365,0.7386363636363636,0.04052631578947369,33803.28619047619,17.416190476190476,61.35363636363636,124.89,72.42,102.0,120.04,0.2547727272727272,0.5045454545454546,-0.47877272727272724,720.0931818181817,720.0931818181817,854.785,854.785,1241.4295454545454,1241.4295454545454,6.950322166869855,6.801562814925442,5.134559061308834,6.9531682439951945,5.227490358720674,0.3680000000000001,-0.71123594583347,5.416899171857198,1.8053890076782728,2545.4671504995717,-2680.2369805965895,14.525764610532201,0.30259083163046796,112.96966420571223,0.03768864699144103,9.608226156449897,0.6110303924624993,1.0,0.0,0.0,1162125.4000000001,2106241.0,2106241.0,0.9916870232737433,0.07993364302281647,0.0,1173098.0,1944066.0999999999,1944066.0999999999,0.9112856056122749,0.07441661018447776,0.012905256172907054,0.016315160103878457,0.011249692290012492,0.016690575830307308,0.025898089402661473,0.015776779779981487,0.17741935483870974,-0.3939038686987104,-0.06769230769230772,-0.14517727272727293,-0.8609545454545453,0.4205318181818183,-0.4326863636363635,-0.3106227272727272,-0.3443999999999998,0.4925909090909091,-0.3802590909090908,-1.0,-1.0,-1.0,0.060651132218746406,0.05513836329026043,0.05946996081853983,0.05946996081853983,0.04685231117235867,0.04674826952078443,0.04674826952078443,0.017084024115847033,-1.5,-0.0006784260515604323,-0.009778357235984414,-0.17547073287456483,-0.30574351538585465,-0.027519779841761238,-0.016684014869888575,-0.47752736237545484
2021-05,548892.9,456458881.0,177692.2,138649979.0,2004744343.0,1750230.4,1963575.1,10117982.0,99155659.0,3070366.5,1073192.0,1810575.9,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,2043200.4,63040.6,0.2,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,335837.5,1538914.9,69313.7,0.4,91.964323,90.534196,93.144234,198.5125515606525,242.9700680281988,290.0510448613134,71.0,125.0,1107.0,0.6821052631578948,0.4715263157894737,0.97,0.4747368421052631,2.1306842105263155,1.6113142857142857,1.1338947368421053,0.6463157894736842,1.5232105263157893,1.638578947368421,3169.2005263157894,423.79315789473685,222.14473684210526,785.1747368421053,1123.2842105263157,2226.6594736842103,873.8657894736842,14477.833157894738,1323.0663157894737,969.077894736842,1.4,99.6,104.2,0.0595,0.7328571428571429,0.040499999999999994,34270.3085,19.7605,55.89450000000001,147.02,42.69,103.8,116.02,0.2105789473684211,0.49526315789473685,-0.4875789473684211,785.1747368421053,785.1747368421053,873.8657894736842,873.8657894736842,1323.0663157894737,1323.0663157894737,6.607855798123382,6.801438805499378,4.491572499324151,6.953088995652758,4.706752115072562,0.38931578947368406,-0.6126817201956918,5.232704261658236,1.8235704528281604,2568.817770279168,-2709.4760273951874,14.459030989106749,0.21582048839744594,112.18952087679428,0.7721284647819431,9.799944198358922,0.49591151550777113,1.0,0.0,0.0,1162125.4000000001,2106241.0,2106241.0,0.9941883074301838,0.08375318793370867,0.0,1173098.0,1944066.0999999999,1944066.0999999999,0.9156206432212377,0.06899805176679319,0.012454312369154286,0.01616287848511866,0.009469298250218472,0.011700462029388348,0.019815805404391318,0.008069681399541562,0.12328767123287676,-0.23597678916827858,-0.04172560113154178,-0.16968421052631588,-0.716315789473684,0.5193699248120298,-0.20656390977443628,-0.30952631578947376,-0.36621052631578954,0.5046842105263156,-0.403,-0.9907506913757106,-0.9673441501985544,-1.0,0.05285277009539426,0.04874527786357445,0.05676430828925739,0.05676430828925739,0.04618997660902016,0.048055607520291956,0.048055607520291956,0.013763401360559655,-1.5,0.0010169491525423568,-0.008069722401549573,-0.16615963493715447,0.0004061031502000656,-0.022765316370940702,-0.025449014216345933,-0.5596779306185182
2021-06,548892.9,454105865.0,177692.2,140079655.0,2020945641.0,1788854.5,1971439.5,11251772.0,101308051.0,3026219.5,1085645.1,1810575.9,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,2043200.4,63040.6,0.2,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,335837.5,1538914.9,69313.7,0.5,93.169468,92.013804,94.083713,201.6704666569862,248.9472541379292,295.1802709011534,65.0,334.0,1267.0,0.6631818181818182,0.5106363636363637,0.97,0.5104545454545455,2.1031363636363634,1.5099636363636364,1.301909090909091,0.872,1.6669545454545456,1.8258636363636362,3259.14,434.30909090909086,226.6222727272727,791.6381818181818,1121.2954545454545,2201.473636363636,866.4304545454546,14377.810909090911,1318.9104545454545,1000.9159090909092,1.4,99.6,105.0,0.07727272727272727,0.6972727272727273,0.01611111111111111,34289.90727272727,16.956818181818182,54.49409090909091,133.58,40.75,105.2,119.01,0.15254545454545454,0.4595454545454545,-0.4299090909090909,791.6381818181818,791.6381818181818,866.4304545454546,866.4304545454546,1318.9104545454545,1318.9104545454545,6.728637618270771,6.801318980046848,6.0556257901823844,6.953012553556838,6.013936602252533,0.3650454545454547,-0.5267460803993242,4.957356331607457,1.7551437233601828,2555.5756808683777,-2700.818338284429,14.427117492543795,0.16684845295583983,110.20681111851187,0.1273528003912503,9.003741899498142,0.49559025764901854,1.0,0.0,0.0,1162125.4000000001,2106241.0,2106241.0,0.995680868171748,0.08642430001065271,0.0,1173098.0,1944066.0999999999,1944066.0999999999,0.9190161155495806,0.06253744782321591,0.011110457903298787,0.01432443175128495,0.008320577021206477,0.010092793696234947,0.017288925482542572,0.007418804750979557,-0.06910569105691067,-0.0430379746835442,-0.06396063960639609,-0.14168181818181808,-0.6118181818181823,0.593172727272727,-0.07528636363636387,-0.24250000000000005,-0.3879545454545452,0.5239545454545453,-0.3324090909090911,-1.0,-0.9991252042362259,-1.0,0.05357699925230241,0.047276558467018844,0.05693762810426469,0.05693762810426469,0.047639305348778874,0.04980002015721219,0.04980002015721219,0.010006689950309476,-1.5,-0.000678656260604038,-0.0016010246557796037,-0.011785319955835205,-0.05601948503827414,-0.018003273322422242,-0.012865130077590159,-0.3534937061924968
2021-07,568471.9,458680900.0,164454.3,145162092.0,2022638105.0,1781100.6,1992402.0,10322431.0,103232947.0,3158270.1,1133013.3,1845539.5,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,2094322.6,63564.4,0.2,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,342253.4,1591545.7,70872.7,0.4,94.256326,93.358099,95.028558,205.0337229793703,255.2426866174377,301.2439934955532,59.0,341.0,981.0,0.6940909090909091,0.5999545454545454,0.97,0.5281818181818182,1.9762727272727274,1.3112227272727273,1.4194090909090908,0.932,1.8057272727272726,1.9501818181818182,3254.5731818181816,431.9859090909091,218.8109090909091,751.8245454545454,1143.9818181818182,2154.0440909090908,841.0695454545454,14259.435,1331.4604545454547,1043.2945454545454,0.0,99.6,105.2,0.09857142857142859,0.7045454545454546,0.006111111111111111,34798.80428571429,17.603333333333335,61.90571428571428,152.91,20.81,106.2,117.85,0.09413636363636368,0.4418181818181818,-0.4874090909090908,751.8245454545454,751.8245454545454,841.0695454545454,841.0695454545454,1331.4604545454547,1331.4604545454547,6.444283421830795,6.801203197474099,5.1438913688744945,6.952938818365249,5.246572888233736,0.3863181818181818,-0.4820807008205661,4.839473778421302,1.7051305484245005,2789.1085851814155,-2545.4671504995717,13.933652216861136,0.34456244562850813,111.86352977479206,0.011271542305621551,10.000836721504847,0.2230452695998295,1.0,0.0,0.0,1162125.4000000001,2157887.0,2157887.0,0.9966580161384896,0.08289906487377685,0.0,1173098.0,2004671.8,2004671.8,0.9219280312080241,0.06007714708469125,0.01110797751524295,0.013933978305206152,0.008482564856490793,0.01101496855584827,0.018355796096859,0.012541850369061969,-0.07423580786026185,0.5396825396825398,-0.01077529566360036,-0.2119071146245059,-0.5477470355731224,0.6650500000000001,-0.07846739130434766,-0.27497430830039515,-0.3103339920948619,0.5307727272727274,-0.32692292490118546,-0.9946508561142046,-1.0,-1.0,0.06099549422794838,0.049766663723294954,0.06005512613652846,0.06005512613652846,0.048806027489755655,0.04784294633108507,0.04784294633108507,0.011879600287087812,-1.4,-0.004408273991183487,-0.0015984654731457937,-0.015107721454421963,-0.04251136503255937,-0.013504823151125445,0.006167797899006011,-0.4745460045247445
2021-08,568471.9,463933550.0,164454.3,147102169.0,2064152741.0,1806536.3,2005346.5,10330307.0,107320413.0,3113581.4,1114664.1,1845539.5,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,2094322.6,63564.4,0.2,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,342253.4,1591545.7,70872.7,0.4,95.666418,95.111281,96.163021,208.9804623022554,262.4940248545122,306.8721379589819,55.0,339.0,789.0,0.7652380952380953,0.6808095238095239,0.9985714285714286,0.5776190476190477,1.9045238095238095,1.2773409090909091,1.4107142857142858,1.0101428571428572,1.8336666666666666,1.979142857142857,3182.5009523809526,418.9319047619048,244.89285714285714,752.6728571428572,1160.338095238095,2148.4142857142856,830.9842857142856,14357.147619047619,1352.4480952380952,1029.9752380952382,0.0,99.5,105.1,0.09318181818181817,0.7400000000000001,0.007222222222222223,35243.965454545454,17.472727272727273,61.46636363636364,133.81,31.87,106.9,110.06,0.08442857142857141,0.42095238095238086,-0.4005714285714286,752.6728571428572,752.6728571428572,830.9842857142856,830.9842857142856,1352.4480952380952,1352.4480952380952,6.233386287900392,6.801091321440761,4.383478737359549,6.952867694250522,4.5854853185280575,0.42295238095238075,-0.3543289158098981,4.594581603753185,1.9439489144219466,2821.048461487477,-2568.817770279168,14.032102687758465,0.038032311537822494,111.00504872224266,-0.04086445811621786,10.388889023336867,0.5273845484468058,1.0,0.0,0.0,1162125.4000000001,2157887.0,2157887.0,0.9978101835063159,0.07779424905648191,0.0,1173098.0,2004671.8,2004671.8,0.9249879889898106,0.05614244585856598,0.011460440417256024,0.01425360958594113,0.009373208023887525,0.014134892883367556,0.02250714035067536,0.01807910629172338,-0.08018867924528306,0.3745704467353952,-0.10866099893730086,-0.11737142857142857,-0.5010476190476192,0.6271829004329004,-0.10021709956709968,-0.20822142857142845,-0.20864761904761908,0.5684285714285713,-0.23367142857142886,-0.9645939114122647,-0.9872334160881631,-1.0,0.05967140226106005,0.04842406209582419,0.06003216976833707,0.06003216976833707,0.03893869025822619,0.037365600349775256,0.037365600349775256,0.012025259563816306,-1.4,-0.004726536124240344,-0.003511011809766984,0.06910158080347228,-0.33113050173232383,-0.009835025380710682,0.016889594196327296,-0.5788340987458629
