period,gdp,reserve,short_ex_debt,bank_capital,bank_asset,bank_dep,bank_loan,sbank_capital,sbank_asset,nbank_rc,nbank_cd,hcredit,hc1975_lbond,hc1975_sbond,hc1975_loan,hc1975_gov,hc2002_bond,hc2002_loan,hc2002_gov,hc2008_bond,hc2008_loan,hc2008_gov,ldr_hl,cc1975_lbond,cc1975_sbond,cc1975_loan,cc1975_gov,cc2002_bond,cc2002_loan,cc2002_gov,cc2008_bond,cc2008_loan,cc2008_gov,ldr_cp,kb_hp,kb_hp_mt,kb_hp_se,bcs_ap,bcs_ap_mt,bcs_ap_se,uhi_se,uhi_ic,uhi_gg,cd91,ms91,cp91,call,kb10y,ub10y,kb3y,ms1y,cbaa3y,fiaa3y,kospi,kospi2,kosbank,krxbank,er,kossecu,krxsecu,kosins,krxins,kosdaq,gdp_growth,cei,ipi,ffr,us_cds_diff,us_cps_diff,dow,vix,move,epu,epu_tp,esi,nsi,cd_sp,cp_sp,tp_sp_neg,post_kosbank,stockbank,post_kossecu,stocksecu,post_kosins,stockins,bank_gv,secu_gv1,ins_gv1,secu_gv2,ins_gv2,cr_sp,stock_ret,stock_gv,er_gv,res_sdebt,res_sdebt_neg,bank_lev,bank_lev_diff,bank_ldr,bank_ldr_diff,sbank_lev,sbank_lev_diff,nbank_ratio,nbank_ratio_diff,hc1975,hc2002,hc2008,hc2,hc2_gdp,hc_gdp_diff,cc1975,cc2002,cc2008,cc,cc_gdp,cc_gdp_diff,kb_hp_pchg,kb_hp_mt_pchg,kb_hp_se_pchg,bcs_ap_pchg,bcs_ap_mt_pchg,bcs_ap_se_pchg,uhi_se_pchg,uhi_ic_pchg,uhi_gg_pchg,cd_sp_diff,cp_sp_diff,sr_sp,sr_sp_diff,tp_sp_neg_diff,cb_kb_diff,fi_kb,fi_kb_diff,stock_cmax,kosdaq_cmax,dow_cmax,bank_mv,secu_mv1,secu_mv2,secu_mv,ins_mv1,ins_mv2,ins_mv,er_mv,gdp_growth_neg,cei_growth_neg,ipi_growth_neg,epu_pchg,epu_tp_pchg,esi_pchg_neg,nsi_pchg_neg
2019-03,483744.6,405252892.0,128761.8,122569027.0,1672460073.0,1425960.8,1617556.6,7654723.0,69081277.0,2514097.2,872197.0,1540236.0,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1685857.9,61492.4,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,287054.6,1221010.6,56570.1,0.7,79.740343,75.053156,78.026059,158.2363661733897,172.2287965508031,199.3575266579069,770.0,2454.0,7305.0,1.8954999999999997,1.7902,1.9669999999999999,1.7585000000000002,1.9533,2.5684857142857145,1.7890000000000001,1.8192499999999998,2.13665,2.2043,2161.9145,278.5445,296.004,747.7795,1130.72,1794.163,639.7315000000001,17299.230499999998,1636.465,742.4415,0.1,99.3,99.2,2.4033333333333333,0.9933333333333333,0.07428571428571429,25722.620952380956,14.485238095238095,48.778804761904766,140.25,287.67,95.4,95.68,0.10529999999999973,0.20849999999999969,0.030249999999999666,720.0931818181817,889.4088285777144,639.7315000000001,639.7315000000001,1636.465,1636.465,5.072756672097878,6.956124838522633,4.2552660898726105,6.933831185618761,4.383622339122439,0.3476499999999998,0.11815102159024637,3.5707113190775455,1.6188638627243397,3147.3068254715295,-3147.3068254715295,13.64504650102183,0.21795951574786443,113.4362599588993,-1.7919304111328955,9.024660591898623,-0.13320235668930636,1.0,0.0,0.0,1162125.4000000001,1747350.2999999998,1747350.2999999998,0.8686280403264961,0.014404450037751704,0.0,1173098.0,1564635.3000000003,1564635.3000000003,0.777798300927215,0.03087083278812397,-0.0005023307962772616,-0.00020551662774037638,-0.0003050420740153825,-0.0041662495644649855,-0.005221382296146215,-0.009949350175089133,7.14423076923077,0.252232142857143,0.13267101901788259,-0.002938095238095295,-0.09816666666666718,-0.6151857142857144,-0.4850751082251086,0.3882023809523809,-0.08577857142857148,0.4152999999999998,-0.20346190476190484,-0.832927243664675,-0.8437894530049227,-0.9805568025180459,0.0286392166625736,0.04998678717072813,0.049834125568064436,0.049834125568064436,0.03221742555906953,0.03163881797279752,0.03163881797279752,0.005513157406216519,-0.1,0.0016711229946524409,-0.0,-0.054911222639281165,-0.2312593131445868,0.0024347826086955626,-0.012307152875175253
2019-04,508588.6,404029052.0,139342.8,123591553.0,1682087492.0,1421596.2,1627414.0,7448928.0,68763728.0,2555577.4,881337.5,1557097.5,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1706596.0,61427.4,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,293019.6,1257893.4,58174.0,0.7,79.629672,75.014144,78.026358,157.4457389398058,171.6918310295757,199.1264993777227,292.0,2105.0,7048.0,1.8595454545454546,1.7626363636363636,1.9699999999999998,1.7463636363636363,1.8893181818181817,2.529390909090909,1.7360454545454544,1.760181818181818,2.058090909090909,2.0850000000000004,2212.120454545455,285.9672727272727,302.35818181818183,769.1986363636363,1140.95,1906.0254545454545,687.1095454545455,17076.681363636362,1616.5404545454546,755.68,1.3,99.1,101.0,2.4231818181818183,0.9259090909090909,0.04619047619047619,26401.577142857142,12.949047619047619,49.636942857142856,98.74,335.67,95.3,101.7,0.09690909090909106,0.2236363636363634,0.024136363636363622,720.0931818181817,908.5013591093252,687.1095454545455,687.1095454545455,1616.5404545454546,1616.5404545454546,4.9638092540917995,6.955723114350623,4.363474396297116,6.933618776670734,4.303348704090115,0.32204545454545475,0.10011464825072092,3.6230702614424537,1.6212563620410378,2899.533036511395,-2899.533036511395,13.610052233909546,0.29249405300331155,114.47793684310636,-1.6922569773365694,9.231358928425674,-0.3179918581024861,1.0,0.0,0.0,1162125.4000000001,1768023.4,1768023.4,0.8709175743374539,0.01504091970889565,0.0,1173098.0,1609087.0,1609087.0,0.7841350781311366,0.0354587126391549,-0.0010318536859639238,-0.0005394056231794453,-0.00043719659886043427,-0.004672230799257715,-0.005375423471660423,-0.008258336963548163,0.3128689492325858,0.1333333333333333,0.013983560545308693,-0.002519480519480366,-0.11350649350649356,-0.6400727272727273,-0.4271251082251082,0.36404112554112533,-0.13262121212121158,0.34895454545454596,-0.27133116883116815,-0.8551234443725567,-0.858835091851358,-1.0,0.030835522148638963,0.030565227252347938,0.03403126279215882,0.03403126279215882,0.030843741551931175,0.028518998790993906,0.028518998790993906,0.005494527845270686,-1.3,0.003013056578506812,-0.0010070493454181761,-0.2282341916194387,-0.2899540591278865,0.0017433751743375359,-0.015482664265179524
2019-05,508588.6,401972476.0,139342.8,124580755.0,1710886540.0,1430197.5,1637077.7,7445392.0,68624033.0,2565804.9,888570.8,1557097.5,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1706596.0,61427.4,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,293019.6,1257893.4,58174.0,0.7,79.577377,75.012003,78.065297,157.118569829432,171.3720997800295,200.6415153172104,178.0,3478.0,6562.0,1.84,1.6965238095238095,1.9352380952380952,1.7447619047619047,1.8280952380952382,2.387073913043478,1.6792857142857143,1.6918095238095237,1.973666666666667,2.0153333333333334,2086.8980952380953,269.447619047619,292.09000000000003,760.7719047619047,1183.290476190476,1820.7733333333333,660.9100000000001,16031.134285714286,1501.5942857142857,715.1309523809524,1.3,99.5,101.0,2.3927272727272726,0.9677272727272727,0.04363636363636363,25744.788636363635,16.721818181818183,55.970313636363635,122.54,786.54,95.2,94.68,0.14347619047619053,0.19047619047619047,0.012523809523809382,720.0931818181817,877.6483586007778,660.9100000000001,660.9100000000001,1501.5942857142857,1501.5942857142857,4.897109013033265,6.955334323614943,3.9368932448813516,6.933413811420626,3.968965551450929,0.29438095238095263,0.1521156822427432,3.552184937581373,1.6208081340435407,2884.7739244510663,-2884.7739244510663,13.73315276504786,0.40389237812460443,114.46514904410054,-1.321558876000779,9.216980516271004,-0.40021134530980973,1.0,0.0,0.0,1162125.4000000001,1768023.4,1768023.4,0.8730803648835564,0.015638390100700894,0.0,1173098.0,1609087.0,1609087.0,0.7903515918963321,0.04000414665728358,-0.0010303943592930853,-0.000431461622866558,-0.00011485637164398987,-0.004073280071126839,-0.003687972889986013,-0.0011837929170428474,0.1151079136690647,0.2640767536961308,0.033809500271859916,0.04802619047619072,-0.12252380952380948,-0.5589786749482399,-0.3388417184265011,0.3955738095238095,-0.16106904761904728,0.33604761904761915,-0.2735023809523809,-0.8057249834239867,-0.8127508431794468,-0.975123133631765,0.032820282029601286,0.04082347916831029,0.04168464029199379,0.04168464029199379,0.03886451012688318,0.040028173025143936,0.040028173025143936,0.015180769576860159,-1.3,-0.000335795836131636,-0.010060362173038184,0.045216687386163246,0.5152993777070816,0.0013971358714636173,0.0038201787297905687
2019-06,508588.6,403071937.0,139342.8,125075485.0,1713821887.0,1454392.5,1643100.4,8021897.0,69761467.0,2574208.5,892271.2,1557097.5,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1706596.0,61427.4,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,293019.6,1257893.4,58174.0,0.6,79.508094,75.022618,78.157672,157.0580818853249,172.0148693559503,203.8635502047046,123.0,3632.0,7853.0,1.803684210526316,1.574157894736842,1.916842105263158,1.756842105263158,1.6181052631578947,2.07226,1.4961052631578946,1.5555263157894736,1.8104736842105265,1.8842631578947369,2105.303157894737,272.71736842105264,291.73052631578946,761.3036842105263,1175.6157894736843,1913.4373684210525,703.9121052631579,15657.433157894737,1450.2936842105264,714.4721052631579,1.3,99.5,99.8,2.3754999999999997,0.991,-0.0755,26160.101000000002,15.836000000000002,72.907215,150.12,1374.28,95.0,94.76,0.22952631578947402,0.15999999999999992,0.05942105263157904,720.0931818181817,876.5682412091944,703.9121052631579,703.9121052631579,1450.2936842105264,1450.2936842105264,5.087714323477524,6.954958050613212,5.744509301859391,6.933216028737883,5.765518129651995,0.31436842105263185,0.12077836012893528,4.147622003505456,2.422328840950057,2892.664256782554,-2892.664256782554,13.702300550743416,0.38304123798094203,112.97503253076455,-1.3561715170925908,8.696380295084817,-0.3183960649751505,1.0,0.0,0.0,1162125.4000000001,1768023.4,1768023.4,0.8751170955748689,0.01619637464312218,0.0,1173098.0,1609087.0,1609087.0,0.7964484757199929,0.04450673727296539,-0.0009719670847047057,-0.00013567662416291704,0.0005621659196619611,-0.0024921374915714,-0.0004151566352361691,0.0075210005846571,-0.521774193548387,0.14657210401891252,0.026201290939517063,0.15636842105263216,-0.16157894736842104,-0.4541547368421053,-0.19691914786967435,0.3664736842105265,-0.15242105263157857,0.38815789473684226,-0.22626315789473694,-0.8155024636222615,-0.8120020592696874,-0.9908537228079016,0.03306325624492169,0.04405895262344786,0.04676510523497556,0.04676510523497556,0.03730782098645975,0.040429155544518064,0.040429155544518064,0.015475610244522157,-1.3,-0.0006713662302786361,-0.0019920318725097363,0.027300638951124334,0.7707109824949638,0.0013990905911156482,0.0031500376634938654
2019-07,516955.4,403112528.0,134364.2,126797190.0,1710887050.0,1447588.8,1648646.7,7433715.0,70465214.0,2619044.9,897446.9,1572863.3,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1729951.6,62120.9,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,302041.8,1274070.8,58877.4,0.7,79.502474,75.099613,78.364763,157.7288128321412,173.6702446830407,208.4787342004571,190.0,2778.0,7821.0,1.6804347826086956,1.4889565217391305,1.8534782608695652,1.6313043478260871,1.505608695652174,2.0495521739130433,1.3815217391304346,1.416,1.713913043478261,1.7439130434782608,2079.48,272.1473913043478,286.4678260869565,747.5647826086957,1175.308695652174,1904.0617391304347,704.8165217391305,14708.589565217391,1346.4934782608696,667.4765217391304,0.2,99.5,101.8,2.402727272727273,0.8826086956521739,-0.178,27089.186818181817,13.305909090909092,62.26716363636364,149.97,600.79,94.8,89.13,0.1914782608695651,0.2221739130434781,0.03447826086956529,720.0931818181817,860.7553060945271,704.8165217391305,704.8165217391305,1346.4934782608696,1346.4934782608696,4.97731923923783,6.9545938929609505,5.138454395440208,6.9330251778244225,5.337222647812417,0.3323913043478264,0.08964575260110819,4.0796885013629565,2.1923699697435084,3000.1483133156003,-3000.1483133156003,13.493099097858556,0.3931307970571396,113.88915830241295,-2.144945491398474,9.479138492664838,-0.39400077731128214,1.0,0.0,0.0,1162125.4000000001,1792072.5,1792072.5,0.8778921818766102,0.01739899323859173,0.0,1173098.0,1634990.0,1634990.0,0.7996350208782069,0.04471440886970823,-0.0005328442862965188,0.0003797799112559286,0.0014446359540662979,0.000600213005032213,0.003840992199308335,0.01549328326508137,-0.17200674536256322,0.07303309820944115,0.03601546848064108,0.14138735177865613,-0.10237154150197658,-0.5439434782608694,-0.2081343873517787,0.29429644268774724,-0.1267450592885373,0.3623913043478262,-0.254881422924901,-0.8137980700019644,-0.7585912818341771,-1.0,0.020837709771389733,0.04426317667750427,0.04606961567263855,0.04606961567263855,0.042678594457335836,0.04689603067177941,0.04689603067177941,0.01539244043350706,-0.2,-0.0013418316001343467,-0.002650762094102088,0.13793753365643502,0.10619710072942401,0.0017513134851139256,0.04317510476059616
2019-08,516955.4,401483478.0,134364.2,127421601.0,1746903306.0,1471688.5,1659345.1,7449731.0,71654173.0,2628803.4,902844.1,1572863.3,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1729951.6,62120.9,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,302041.8,1274070.8,58877.4,0.7,79.546108,75.2422,78.661441,158.1011993038947,174.5705822794346,211.2034003294804,205.0,1557.0,8569.0,1.4914285714285715,1.3071904761904762,1.7171428571428573,1.510952380952381,1.2541904761904763,1.6240409090909091,1.1638095238095236,1.192952380952381,1.5128095238095238,1.5373809523809523,1944.2376190476189,255.90333333333334,257.49142857142857,669.5095238095239,1208.9761904761904,1701.5385714285712,630.2690476190476,12958.328571428572,1198.1142857142859,595.0528571428572,0.2,99.6,101.8,2.125,0.9559090909090909,-0.0659090909090909,26058.225,18.97909090909091,82.65274545454545,190.46,1946.68,94.5,82.84,0.1842380952380953,0.20619047619047626,0.02914285714285736,720.0931818181817,773.6893753277541,630.2690476190476,630.2690476190476,1198.1142857142859,1198.1142857142859,5.005579821643563,6.954241461167656,6.875480377245058,6.932841014903667,7.070020505323795,0.3490000000000002,0.1486818776656892,4.174452394039968,1.969966709817713,2988.024176082617,-2988.024176082617,13.709632372300831,0.6343288972145302,112.75110867551118,-3.3534610549045425,9.618357092356758,-0.3635292351016144,1.0,0.0,0.0,1162125.4000000001,1792072.5,1792072.5,0.8808647024658306,0.01844185271420029,0.0,1173098.0,1634990.0,1634990.0,0.8030006599273384,0.04479223682101119,-0.000131058591413602,0.0010224877661211274,0.00254124115919252,0.0020822591563041115,0.006185935354775962,0.017230284090792525,0.054989816700611094,-0.19427588996763756,0.09025903939557467,0.12669264069264075,-0.1038095238095238,-0.36985043290043285,0.05953178053830266,0.22023376623376612,-0.05618181818181789,0.37357142857142867,-0.2054740259740262,-0.7652237185725651,-0.6762813296907405,-0.9619419429198276,0.04390948385462623,0.0624380471295186,0.0671281419539134,0.0671281419539134,0.042508898561023,0.04159365642776963,0.04159365642776963,0.016898770820781027,-0.2,-0.00033500837520961113,-0.0026437541308657053,0.16070794785036568,0.420095523987819,0.002456140350877156,0.04250278206554914
2019-09,516955.4,403320096.0,134364.2,128358002.0,1754413097.0,1481331.9,1669791.4,8447966.0,73161582.0,2613068.4,908169.1,1572863.3,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1729951.6,62120.9,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,302041.8,1274070.8,58877.4,0.6,79.588844,75.365784,78.956762,158.3803822998454,175.3349266549071,213.0961056858556,207.0,1046.0,8413.0,1.5363157894736843,1.291263157894737,1.7100000000000002,1.5173684210526317,1.4197894736842105,1.6864285714285714,1.287,1.297736842105263,1.6955263157894738,1.7500526315789473,2045.2052631578947,270.1536842105263,271.6963157894737,705.3073684210526,1197.5473684210526,1765.967894736842,655.3005263157894,13206.355263157895,1221.2357894736842,632.9563157894737,0.2,99.8,101.7,2.0524999999999998,0.96,-0.02,26900.214,15.559000000000001,80.42804,134.36,919.12,94.0,95.08,0.2450526315789474,0.1926315789473685,0.010736842105263156,720.0931818181817,816.3710691585134,655.3005263157894,655.3005263157894,1221.2357894736842,1221.2357894736842,5.757267959430182,6.95390037822621,9.008078297822955,6.932663307418984,8.360407266322424,0.40852631578947385,0.11360364012722113,4.284814865217011,2.1986721310817163,3001.693129568739,-3001.693129568739,13.668124072233534,0.5291670613123536,112.7223007889049,-2.4340634463929263,8.660259996311538,-0.3223322051302162,1.0,0.0,0.0,1162125.4000000001,1792072.5,1792072.5,0.8840336737324742,0.019328233359789837,0.0,1173098.0,1634990.0,1634990.0,0.8065444987386715,0.04474304215351643,0.0003384939853874336,0.0015227158894473014,0.0033977244256320205,0.0027962226819369107,0.006381587597120042,0.01480654217834898,0.16216216216216206,-0.3245889293335006,0.02309945138802938,0.17175851393188868,-0.06972136222910219,-0.2666390977443609,0.4125270787262274,0.14703095975232205,-0.012356037151702859,0.4630526315789474,-0.11012383900928802,-0.8078363189915101,-0.719358849789527,-0.99302404980075,0.053307367084648956,0.06518430378308361,0.06887581473953366,0.06887581473953366,0.048113525535894874,0.04679950077988094,0.04679950077988094,0.01917651962097781,-0.2,-0.0010046885465504474,-0.00626235992089641,-0.03212720415859749,-0.1160604322050105,0.003517411185367525,-0.0011997150676712476
2019-10,531305.7,406323989.0,135464.6,129514993.0,1758226957.0,1486029.5,1687139.0,7526265.0,74502522.0,2662208.0,916790.1,1600600.7,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1766228.4,61605.5,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,301438.0,1300519.0,60032.4,0.7,79.66379,75.509247,79.247473,159.2147217683856,176.8214631352904,216.3445945911597,191.0,836.0,6976.0,1.4576190476190476,1.3015714285714286,1.6766666666666667,1.3638095238095238,1.5772380952380953,1.7016347826086957,1.356952380952381,1.3284285714285713,1.7676190476190474,1.7943809523809524,2065.747619047619,273.8390476190476,262.2828571428571,698.7366666666667,1184.1333333333332,1716.0309523809524,633.8833333333333,13020.585238095236,1211.7366666666667,644.972380952381,1.0,99.8,102.0,1.8299999999999998,0.9304347826086956,0.04818181818181819,26736.796086956525,15.466521739130435,76.99798636363636,118.49,842.41,93.0,92.66,0.156047619047619,0.31285714285714294,-0.028523809523809618,720.0931818181817,788.0862715620212,633.8833333333333,633.8833333333333,1211.7366666666667,1211.7366666666667,5.876004712954879,6.953570279215195,7.475946091954679,6.932491827212929,7.134157874551739,0.4106666666666665,0.040738332101290964,4.416000278402745,2.0575317486902973,2999.4846550316465,-2999.4846550316465,13.575470424493634,0.4361284013065241,113.53334506481869,-1.7240092754030343,9.89900329047675,-0.3408424994376027,1.0,0.0,0.0,1162125.4000000001,1827833.9,1827833.9,0.888808543974784,0.02189394587774518,0.0,1173098.0,1661989.4,1661989.4,0.8099780915179536,0.04655594144746489,0.0006759878477735626,0.0018148879587778222,0.0037405665966585566,0.0031334381398622213,0.006018648553677286,0.012430674588336244,0.0016611295681063787,-0.36089946106671633,-0.03406845946054904,0.14942857142857147,0.01666666666666683,-0.12439668737060039,0.6924869565217393,0.08904761904761926,-0.02990476190476188,0.4374285714285715,-0.14761904761904732,-0.8188566033114745,-0.7330151837243637,-0.9869914614421437,0.05092925987548925,0.05769038208578689,0.06114369020146723,0.06114369020146723,0.04796534283375848,0.047476892444839484,0.047476892444839484,0.02102147963056032,-1.0,-0.0010036801605888268,-0.0006550933508024936,-0.06630299711451382,0.06969961835694449,0.006353688669255342,-0.013218498408537949
2019-11,531305.7,407460269.0,135464.6,130730569.0,1787709989.0,1510877.0,1700073.0,7507190.0,75495088.0,2685550.8,929130.6,1600600.7,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1766228.4,61605.5,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,301438.0,1300519.0,60032.4,0.7,79.77573,75.695997,79.572832,160.5199026796839,178.6767706859746,220.5832006823344,176.0,839.0,7300.0,1.518095238095238,1.326095238095238,1.64,1.2795238095238095,1.7503809523809526,1.8158857142857143,1.4915238095238095,1.4223809523809523,1.8965714285714288,1.9148095238095237,2128.794761904762,282.50380952380954,252.1938095238095,712.7771428571428,1167.452380952381,1723.0119047619048,637.0971428571428,13550.28619047619,1261.6361904761904,656.8942857142857,1.0,99.7,101.9,1.5526315789473684,0.8742857142857142,0.22,27797.046000000002,12.5235,62.445263157894736,131.75,597.62,91.3,104.08,0.19199999999999995,0.3604761904761904,-0.06914285714285717,720.0931818181817,757.7715189765092,637.0971428571428,637.0971428571428,1261.6361904761904,1261.6361904761904,5.993360792300771,6.953250810913709,6.351190750458738,6.932326357500405,6.105389164420241,0.4050476190476193,-0.021821560028580933,4.227671765496555,1.8391701535407066,3007.8726766993,-3007.8726766993,13.674766373884596,0.46296973055426704,112.5222635595088,-3.9419051281400215,10.056371025643417,-0.30809417420709906,1.0,0.0,0.0,1162125.4000000001,1827833.9,1827833.9,0.8932774758824374,0.02434980465671155,0.0,1173098.0,1661989.4,1661989.4,0.813134318017199,0.04826324512734148,0.0009615712297179613,0.0020069103004363154,0.003847712405574688,0.005084553650392953,0.007795667631004033,0.014641203039213568,-0.04809286898839138,-0.208781622564699,-0.05296769346356123,0.18968181818181806,0.03274891774891753,-0.06550476190476173,0.8397497835497836,-0.009597402597402382,-0.07167965367965312,0.42328571428571427,-0.16548701298701296,-0.8565606019856792,-0.7465645037688715,-1.0,0.051168069152140984,0.05623798017030522,0.05994823171441894,0.05994823171441894,0.057408930774441536,0.05678196238307481,0.05678196238307481,0.015801876061790926,-1.0,-0.00033422459893039935,-0.0003273322422259195,-0.13243554172024086,-0.3638035602082945,0.011367673179396243,-0.07849804124473336
2019-12,531305.7,408816146.0,135464.6,130058420.0,1754950721.0,1515519.5,1698612.9,8768699.0,76164151.0,2661420.5,931235.0,1600600.7,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1766228.4,61605.5,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,301438.0,1300519.0,60032.4,0.5,80.053926,76.057049,80.128578,162.3088100221528,181.0181643405132,225.2089994244033,151.0,966.0,5085.0,1.53,1.332,1.6576190476190473,1.2833333333333332,1.6526190476190474,1.8601045454545455,1.3896190476190475,1.3778095238095238,1.8127142857142857,1.863952380952381,2149.4257142857145,286.464,252.17857142857142,733.3857142857144,1176.7450000000001,1734.332380952381,643.2971428571428,13839.530952380954,1287.007142857143,641.9328571428572,1.0,100.1,103.1,1.5509523809523809,0.8036363636363636,0.20833333333333334,28167.005714285715,13.756666666666666,59.27,143.47,851.98,88.9,105.71,0.19799999999999995,0.3742857142857141,-0.011809523809523714,720.0931818181817,757.7257327829597,643.2971428571428,643.2971428571428,1287.007142857143,1287.007142857143,5.858431701847784,6.952941631428347,5.716185687023801,6.932166686373292,5.659998756875759,0.4230952380952382,-0.03903524420381954,4.116377837302881,1.8170382262868854,3017.881763944233,-3017.881763944233,13.493557133786494,0.3823896783149934,112.08123023161365,-2.6352621694282874,8.685912357123902,-0.397959267153043,1.0,0.0,0.0,1162125.4000000001,1827833.9,1827833.9,0.8974421615562017,0.026695440023202566,0.0,1173098.0,1661989.4,1661989.4,0.8160147153521415,0.0498646797649841,0.0019457188771119238,0.003050985848022769,0.004928212862512993,0.008216491151424199,0.010706259722938372,0.018634535931172147,-0.09756097560975618,-0.029400955531054707,-0.14667900744854334,0.05374999999999974,0.179785714285714,-0.20748549783549808,0.63180974025974,-0.028109523809523695,-0.031754761904761786,0.4743333333333335,-0.060316666666666574,-0.8685680263952171,-0.7295607457213243,-1.0,0.05127005614431066,0.04949558694152155,0.05062820249686984,0.05062820249686984,0.06065988708365741,0.05969975403838989,0.05969975403838989,0.016104967420920414,-1.0,-0.00100233879051137,-0.0045811518324605505,0.0236869474778989,-0.02845940275099068,0.01832554796981667,-0.03642656432047153
2020-01,488993.9,409652586.0,151930.2,130978146.0,1785572983.0,1503576.8,1708763.3,8762484.0,76069670.0,2731146.8,941338.6,1611698.2,0.0,0.0,0.0,0.0,0.0,1151947.3,10178.1,0.0,1781441.1,61777.6,0.3,0.0,0.0,0.0,0.0,348896.9,810209.9,13991.2,312142.1,1349977.2,61974.9,0.6,80.336659,76.407786,80.516358,163.7370276967061,183.3450689262016,227.6984219844597,131.0,1035.0,3735.0,1.465,1.2737,1.6800000000000002,1.2725,1.6562999999999999,1.7629478260869567,1.373,1.3248000000000002,1.7831499999999998,1.8283999999999998,2203.4425,296.2435,233.21550000000002,688.2785,1164.275,1691.0655,631.409,12940.013,1179.8274999999999,671.117,-1.3,100.2,103.4,1.5519047619047621,0.788695652173913,0.0945,28879.994285714285,13.94095238095238,58.712857142857146,131.39,646.82,85.7,102.02,0.19130000000000003,0.4075000000000002,-0.0481999999999998,720.0931818181817,700.7470326791731,631.409,631.409,1179.8274999999999,1179.8274999999999,5.631580942366874,6.952642409831913,4.783908973820815,6.9320126115815475,4.868826637868369,0.4101499999999998,-0.048267924352857206,3.9470333227798,1.9045849572714517,2696.3209816086596,-2696.3209816086596,13.63260236558853,0.2964973507075648,113.64655932440564,-2.4411813539921354,8.681290602071284,-0.5287687323367205,1.0,0.0,0.0,1162125.4000000001,1843218.7000000002,1843218.7000000002,0.8985592047672268,0.029057706410455908,0.0,1173098.0,1724094.1999999997,1724094.1999999997,0.824883458687038,0.05531971261721147,0.0028095507882917037,0.003953753119968706,0.005310278014565739,0.009381532046568664,0.012159191803386538,0.017147253383615668,-0.11583011583011582,0.07535024611889418,-0.16739837818294523,0.07225454545454513,0.20431818181818207,-0.10664782608695678,0.6095901185770749,-0.043245454545454365,-0.018031818181817982,0.4553999999999998,-0.026736363636364002,-0.9356155308442191,-0.7627287083659853,-1.0,0.0553422257897496,0.04933981374937447,0.050092528972856515,0.050092528972856515,0.061289762797651554,0.06194355834928292,0.06194355834928292,0.016714036581648172,1.3,-0.001335113484646211,-0.004560260586319309,0.032765233293541085,-0.08533557881510123,0.026720351390922437,-0.030947264010580344
