iter	Passed	Remaining
411	3868	5521
412	3876	5510
413	3886	5500
414	3895	5491
415	3906	5483
416	3916	5475
417	3926	5466
418	3934	5455
419	3942	5445
420	3951	5434
421	3959	5423
422	3967	5411
423	3975	5401
424	3984	5390
425	3993	5380
426	4001	5370
427	4010	5359
428	4018	5348
429	4027	5338
430	4036	5328
431	4045	5318
432	4054	5308
433	4062	5298
434	4071	5287
435	4079	5277
436	4088	5267
437	4097	5257
438	4105	5247
439	4114	5236
440	4122	5226
441	4132	5216
442	4140	5206
443	4148	5195
444	4157	5184
445	4166	5175
446	4174	5164
447	4184	5155
448	4193	5145
449	4202	5136
450	4211	5126
451	4220	5116
452	4228	5106
453	4237	5096
454	4247	5087
455	4256	5077
456	4264	5067
457	4273	5056
458	4281	5046
459	4290	5037
460	4299	5026
461	4308	5017
462	4316	5006
463	4324	4996
464	4333	4985
465	4343	4976
466	4352	4967
467	4360	4957
468	4368	4946
469	4377	4935
470	4386	4926
471	4396	4917
472	4405	4908
473	4416	4900
474	4426	4892
475	4438	4886
476	4450	4879
477	4462	4873
478	4475	4867
479	4487	4861
480	4499	4855
481	4516	4854
482	4534	4853
483	4551	4852
484	4567	4850
485	4579	4843
486	4593	4838
487	4608	4834
488	4621	4829
489	4633	4822
490	4644	4815
491	4657	4809
492	4670	4803
493	4682	4796
494	4696	4791
495	4707	4783
496	4719	4776
497	4731	4769
498	4742	4761
499	4753	4753
500	4764	4745
501	4775	4737
502	4785	4728
503	4796	4720
504	4806	4711
505	4816	4701
506	4825	4692
507	4835	4682
508	4844	4673
509	4854	4663
510	4864	4654
511	4873	4645
512	4884	4636
513	4895	4629
514	4907	4621
515	4918	4613
516	4929	4605
517	4939	4595
518	4949	4586
519	4957	4575
520	4965	4565
521	4973	4554
522	4982	4544
523	4991	4533
524	5000	4523
525	5008	4513
526	5016	4502
527	5025	4492
528	5034	4482
529	5043	4472
530	5052	4462
531	5060	4451
532	5068	4441
533	5077	4430
534	5085	4420
535	5094	4410
536	5103	4400
537	5112	4389
538	5121	4379
539	5129	4369
540	5137	4359
541	5146	4348
542	5155	4338
543	5163	4328
544	5172	4318
545	5182	4309
546	5192	4300
547	5202	4290
548	5212	4281
549	5221	4272
550	5230	4262
551	5239	4252
552	5249	4243
553	5258	4233
554	5267	4223
555	5276	4213
556	5285	4204
557	5294	4193
558	5302	4183
559	5310	4172
560	5319	4162
561	5327	4151
562	5335	4141
563	5344	4131
564	5354	4122
565	5362	4111
566	5370	4101
567	5379	4091
568	5388	4081
569	5396	4071
570	5405	4061
571	5415	4052
572	5426	4043
573	5437	4035
574	5448	4026
575	5457	4017
576	5466	4007
577	5475	3998
578	5484	3987
579	5494	3978
580	5505	3970
581	5515	3961
582	5525	3951
583	5534	3942
584	5544	3933
585	5554	3924
586	5564	3915
587	5574	3905
588	5585	3897
589	5595	3888
590	5605	3878
591	5614	3869
592	5624	3860
593	5634	3850
594	5643	3841
595	5653	3832
596	5662	3822
597	5673	3813
598	5682	3804
599	5693	3795
600	5703	3786
601	5714	3777
602	5724	3768
603	5734	3759
604	5744	3750
605	5754	3741
606	5764	3732
607	5773	3722
608	5783	3712
609	5791	3702
610	5800	3692
611	5808	3682
612	5816	3672
613	5825	3662
614	5834	3652
615	5843	3642
616	5852	3633
617	5861	3622
618	5870	3613
619	5878	3603
620	5887	3593
621	5896	3583
622	5905	3573
623	5914	3563
624	5923	3554
625	5931	3543
626	5940	3533
627	5948	3523
628	5957	3513
629	5966	3503
